customer,recency,frequency,monetary,R,F,M,RFM Score
Jadyn Bogan,31,1,61,3,1,3,313
Jadyn Kohler,11,5,255,4,5,5,455
Jadyn O'Kon DDS,3,1,74,5,1,3,513
Jaeda Brown PhD,39,2,115,3,4,4,344
Jaelyn Ledner,3,6,245,5,5,5,555
Jagger Klocko MD,68,1,48,1,1,2,112
Jahiem Waelchi,89,1,21,1,1,1,111
Jahir Hackett,47,1,48,2,1,2,212
Jahir Nikolaus I,20,2,51,4,4,2,442
Jahir Nitzsche,47,1,56,2,1,2,212
Jahir Pfeffer,33,1,54,3,1,2,312
Jahir Shanahan,61,1,29,2,1,1,211
Jahir Von,25,1,47,4,1,2,412
Jaida Hahn,11,1,29,4,1,1,411
Jaida Jones,12,2,94,4,4,4,444
Jaida Maggio,84,1,78,1,1,4,114
Jaida Von,40,2,108,3,4,4,344
Jaiden Hermiston,40,3,202,3,5,5,355
Jaiden Walter,3,1,26,5,1,1,511
Jaiden Wolff,35,3,128,3,5,5,355
Jaidyn Gutmann,45,1,56,3,1,2,312
Jaidyn Romaguera,30,1,74,3,1,3,313
Jailene Abbott DDS,31,3,132,3,5,5,355
Jailene Kris,70,1,65,1,1,3,113
Jailyn Connelly,19,3,172,4,5,5,455
Jailyn Hilll PhD,4,2,105,5,4,4,544
Jailyn Koepp,78,1,68,1,1,3,113
Jaime Cruickshank,3,2,73,5,4,3,543
Jaime Hintz,40,1,35,3,1,1,311
Jaime Kutch,4,1,51,5,1,2,512
Jaime Mueller Sr.,12,4,244,4,5,5,455
Jaime Nader,37,3,134,3,5,5,355
Jaime Prosacco Jr.,88,1,77,1,1,4,114
Jaimee Jenkins,24,1,60,4,1,3,413
Jair Dooley,45,2,95,3,4,4,344
Jair Tremblay,12,1,43,4,1,2,412
Jakayla Dach,48,2,114,2,4,4,244
Jakayla Runte DDS,22,1,49,4,1,2,412
Jake Kemmer,78,1,65,1,1,3,113
Jake Rau,56,1,71,2,1,3,213
Jake Rice,45,2,88,3,4,4,344
Jake Wolff,46,1,31,2,1,1,211
Jakob Larson DDS,3,4,187,5,5,5,555
Jakob Wilkinson,68,1,28,1,1,1,111
Jakobe Cruickshank III,58,2,108,2,4,4,244
Jakobe Rohan,6,3,77,5,5,4,554
Jaleesa Schoen,4,4,270,5,5,5,555
Jalen Hoppe,25,2,132,4,4,5,445
Jalen Lebsack,15,4,196,4,5,5,455
Jalen Schoen,41,3,170,3,5,5,355
Jalissa Shields,40,2,105,3,4,4,344
Jaliyah Purdy,29,2,103,3,4,4,344
Jalon Raynor,4,4,224,5,5,5,555
Jalyn Howell,88,1,71,1,1,3,113
Jalynn Hettinger,3,2,61,5,4,3,543
Jalynn Witting,4,9,473,5,5,5,555
Jamar Rohan,87,1,35,1,1,1,111
Jamari Bergstrom,37,1,56,3,1,2,312
Jamarion Braun,66,1,75,2,1,3,213
Jamarion Hammes,40,1,63,3,1,3,313
Jamarion Kassulke,60,1,43,2,1,2,212
Jame Huels,4,2,69,5,4,3,543
Jameel Rau,9,2,138,5,4,5,545
James Feil,6,1,44,5,1,2,512
Jameson Jacobson,40,3,145,3,5,5,355
Jamey Davis,58,2,103,2,4,4,244
Jamey Deckow DVM,45,1,44,3,1,2,312
Jamey Farrell,36,1,54,3,1,2,312
Jamey Ratke,89,1,75,1,1,3,113
Jamey Tremblay,5,3,177,5,5,5,555
Jamie Walter,18,1,66,4,1,3,413
Jamil Abbott,37,1,80,3,1,4,314
Jamil Kozey Sr.,43,1,30,3,1,1,311
Jamila Hamill,40,3,188,3,5,5,355
Jamila McGlynn,42,1,41,3,1,2,312
Jamila Russel,5,1,63,5,1,3,513
Jamila Stamm,42,1,73,3,1,3,313
Jamin Yost,5,2,117,5,4,4,544
Jamir Eichmann,28,1,45,3,1,2,312
Jamir McLaughlin,79,1,23,1,1,1,111
Jamir Sauer,4,1,55,5,1,2,512
Jamison Buckridge,4,2,80,5,4,4,544
Jamison Durgan,80,2,140,1,4,5,145
Jamison Fadel,87,1,65,1,1,3,113
Jamison Prohaska,20,1,73,4,1,3,413
Jammie Abshire PhD,45,1,28,3,1,1,311
Jammie Kiehn III,19,3,109,4,5,4,454
Jammie Runolfsdottir,59,2,98,2,4,4,244
Jamya Ebert,47,1,57,2,1,2,212
Jan Champlin,45,1,34,3,1,1,311
Jan Homenick,12,1,75,4,1,3,413
Jan Sanford MD,46,1,58,2,1,2,212
Jana Kutch,39,1,27,3,1,1,311
Jana O'Kon,27,1,22,3,1,1,311
Jana Romaguera DVM,1,4,244,5,5,5,555
Janay Koepp,4,1,24,5,1,1,511
Janay Ruecker,26,1,41,4,1,2,412
Jane Abbott,10,1,38,5,1,1,511
Jane Bins,32,1,22,3,1,1,311
Jane Koepp,3,1,41,5,1,2,512
Jane Nicolas MD,3,1,47,5,1,2,512
Janeen West,4,2,104,5,4,4,544
Janell Dicki,11,1,29,4,1,1,411
Janell Heller DVM,28,2,109,3,4,4,344
Janell Reynolds,32,1,41,3,1,2,312
Janell Waelchi,22,1,52,4,1,2,412
Janell Waters,5,9,443,5,5,5,555
Janene Donnelly,46,1,59,2,1,3,213
Janet Carter DVM,13,1,26,4,1,1,411
Janet Gerlach,11,2,103,4,4,4,444
Janette Satterfield,39,2,97,3,4,4,344
Janey Quigley,2,1,29,5,1,1,511
Janey Reilly DVM,32,2,78,3,4,4,344
Janiah Ebert,12,9,424,4,5,5,455
Janice Mohr,61,3,73,2,5,3,253
Janice Schmitt,26,1,68,4,1,3,413
Janine McDermott,39,2,128,3,4,5,345
Janis Schuppe,67,1,46,2,1,2,212
Janiya Hansen,56,1,20,2,1,1,211
Janiya Stark,8,1,71,5,1,3,513
Janiyah Cassin,32,1,63,3,1,3,313
Jann Kihn,31,1,21,3,1,1,311
Janna Marks,3,2,146,5,4,5,545
Janyce Satterfield DDS,39,1,50,3,1,2,312
Jaquelin Fadel,4,3,113,5,5,4,554
Jaquelin Gleichner,4,3,111,5,5,4,554
Jaqueline Tillman,86,1,75,1,1,3,113
Jaquez Schultz,5,1,30,5,1,1,511
Jarad Mayer,6,4,219,5,5,5,555
Jared Hickle,12,2,102,4,4,4,444
Jaren Dietrich PhD,13,2,107,4,4,4,444
Jaren Hahn MD,5,1,50,5,1,2,512
Jaren O'Reilly,10,2,118,5,4,4,544
Jaren Rath,80,1,29,1,1,1,111
Jaret Kerluke,18,4,199,4,5,5,455
Jarett Purdy,6,4,184,5,5,5,555
Jarett Schultz Jr.,82,1,61,1,1,3,113
Jarett Weissnat II,58,1,25,2,1,1,211
Jaron Klein V,11,1,35,4,1,1,411
Jarrad Considine,25,4,258,4,5,5,455
Jarrad Swaniawski,56,1,79,2,1,4,214
Jarred Cremin,51,1,80,2,1,4,214
Jarred Stiedemann DDS,3,1,54,5,1,2,512
Jarrell Cummings Jr.,46,1,58,2,1,2,212
Jarret Dickens,8,1,68,5,1,3,513
Jarrett Bernier,40,2,117,3,4,4,344
Jarrod Bogisich,46,1,21,2,1,1,211
Jarrod Boyer DDS,14,1,34,4,1,1,411
Jarrod Willms II,12,3,173,4,5,5,455
Jarvis Halvorson,42,1,61,3,1,3,313
Jase Boehm,90,1,30,1,1,1,111
Jasen Grant,12,1,38,4,1,1,411
Jaslyn Bergstrom,42,2,81,3,4,4,344
Jaslyn Macejkovic,22,1,72,4,1,3,413
Jasmin Sporer,40,1,70,3,1,3,313
Jasmin Streich,6,1,67,5,1,3,513
Jasmine Konopelski DDS,25,1,49,4,1,2,412
Jasmine Marks MD,46,1,62,2,1,3,213
Jasmyn Bernier,88,1,56,1,1,2,112
Jasmyn Schowalter,88,1,66,1,1,3,113
Jasmyn Zulauf,23,1,32,4,1,1,411
Jason Koepp I,11,2,83,4,4,4,444
Jason Ruecker,44,1,36,3,1,1,311
Jasper Baumbach,18,1,61,4,1,3,413
Jaunita Dach,59,1,54,2,1,2,212
Jaunita Dare,42,1,33,3,1,1,311
Jaunita Williamson,4,2,111,5,4,4,544
Javen Beahan MD,67,1,58,2,1,2,212
Javen Corwin,59,2,109,2,4,4,244
Javonte Bergstrom,11,3,132,4,5,5,455
Javonte Bernhard,12,7,286,4,5,5,455
Javonte Fahey,73,1,77,1,1,4,114
Jax Kling,6,2,95,5,4,4,544
Jax Lakin V,33,1,35,3,1,1,311
Jax Rolfson,67,2,112,2,4,4,244
Jax Schimmel,21,2,81,4,4,4,444
Jax Shanahan,40,1,80,3,1,4,314
Jax Stamm,10,1,43,5,1,2,512
Jaxson Stiedemann,45,1,46,3,1,2,312
Jaxton Nikolaus,85,1,40,1,1,2,112
Jay Gutmann I,79,2,58,1,4,2,142
Jaycee Ritchie PhD,61,1,55,2,1,2,212
Jaycie Langworth,1,1,42,5,1,2,512
Jaycob Lemke,6,1,37,5,1,1,511
Jaycob Sporer,42,1,71,3,1,3,313
Jayda Jewess,12,1,36,4,1,1,411
Jayda Mertz,76,1,38,1,1,1,111
Jaydan Beatty,36,1,26,3,1,1,311
Jaydan Crist DDS,58,1,72,2,1,3,213
Jayden Hayes,47,1,80,2,1,4,214
Jayden O'Kon,47,1,41,2,1,2,212
Jayden Raynor,73,2,114,1,4,4,144
Jayden Runolfsson,19,3,188,4,5,5,455
Jayden Yost,68,1,40,1,1,2,112
Jaydin Aufderhar,24,1,28,4,1,1,411
Jaydon Collier,81,2,103,1,4,4,144
Jaydon Hilll,46,1,25,2,1,1,211
Jaydon Koch,29,2,120,3,4,4,344
Jaylah Cassin,4,3,129,5,5,5,555
Jaylah Jacobs,55,1,52,2,1,2,212
Jaylah Prosacco MD,76,1,58,1,1,2,112
Jaylan Heathcote DDS,10,1,50,5,1,2,512
Jayleen Gleason,53,1,52,2,1,2,212
Jaylen Bosco,34,1,63,3,1,3,313
Jaylen Hodkiewicz III,11,2,104,4,4,4,444
Jaylen Jast PhD,51,2,57,2,4,2,242
Jaylen O'Conner,50,1,78,2,1,4,214
Jaylen Smitham,42,1,33,3,1,1,311
Jaylene Waelchi PhD,87,1,78,1,1,4,114
Jaylin Koch,66,1,63,2,1,3,213
Jaylin Trantow,33,2,128,3,4,5,345
Jaylon DuBuque,19,1,60,4,1,3,413
Jaylon Leffler,12,2,67,4,4,3,443
Jaylyn Harris,5,1,20,5,1,1,511
Jaylyn Prosacco MD,7,2,131,5,4,5,545
Jayme Hackett,3,1,39,5,1,1,511
Jayme Jacobson,27,3,185,3,5,5,355
Jayme Kub,27,1,21,3,1,1,311
Jayme Oberbrunner II,47,1,42,2,1,2,212
Jayme Predovic,46,1,80,2,1,4,214
Jayme Welch,3,14,650,5,5,5,555
Jaymes Abshire,24,2,90,4,4,4,444
Jaymes Ferry,18,1,38,4,1,1,411
Jaymes Moore,51,3,133,2,5,5,255
Jayne Brown,48,1,34,2,1,1,211
Jayne Bruen,72,1,60,1,1,3,113
Jayne Mills,53,2,106,2,4,4,244
Jayson Carter,46,1,61,2,1,3,213
Jayson Luettgen,85,1,20,1,1,1,111
Jayson Von,80,3,127,1,5,5,155
Jayvion Cummings,45,2,115,3,4,4,344
Jayvion Harris,44,1,20,3,1,1,311
Jayvon Hagenes,16,1,78,4,1,4,414
Jayvon Johnson,35,4,210,3,5,5,355
Jayvon Osinski,6,3,151,5,5,5,555
Jazlene Ortiz MD,12,2,136,4,4,5,445
Jazlyn Casper PhD,47,1,70,2,1,3,213
Jazlynn Kutch,0,3,204,5,5,5,555
Jazmin Harvey,52,1,27,2,1,1,211
Jazmine Smith,53,1,45,2,1,2,212
Jazmyne Simonis,4,3,167,5,5,5,555
Jean Hyatt,4,3,146,5,5,5,555
Jean Jaskolski,41,1,50,3,1,2,312
Jeane Bahringer,13,2,96,4,4,4,444
Jeane Bogan,33,1,37,3,1,1,311
Jeanetta Gusikowski DVM,52,1,29,2,1,1,211
Jeanetta Lynch,5,1,25,5,1,1,511
Jeanette Lind,5,5,298,5,5,5,555
Jeanette Olson,68,1,72,1,1,3,113
Jeanie Berge,81,1,21,1,1,1,111
Jeanie Boyer PhD,37,1,57,3,1,2,312
Jeanine Gleichner,74,1,47,1,1,2,112
Jeanmarie Barrows,73,1,77,1,1,4,114
Jeanmarie Breitenberg MD,42,1,47,3,1,2,312
Jeanmarie Langworth,70,1,21,1,1,1,111
Jeanna Dicki,32,1,72,3,1,3,313
Jeanna Herzog,68,1,31,1,1,1,111
Jeanna Koss,17,1,56,4,1,2,412
Jeanna Olson,9,1,64,5,1,3,513
Jeannette Bechtelar MD,0,1,26,5,1,1,511
Jeannie Anderson MD,74,1,77,1,1,4,114
Jeannie Rippin,35,2,93,3,4,4,344
Jeannie Volkman,8,3,105,5,5,4,554
Jeannine Weissnat,32,1,36,3,1,1,311
Jed Nicolas,2,2,101,5,4,4,544
Jed Price,80,1,78,1,1,4,114
Jedidiah Gerhold I,35,1,45,3,1,2,312
Jedidiah Pouros,47,1,63,2,1,3,213
Jedidiah Powlowski,46,1,23,2,1,1,211
Jefferey Bernhard,52,1,58,2,1,2,212
Jefferey Hoppe,56,4,153,2,5,5,255
Jefferey Kozey,78,1,32,1,1,1,111
Jefferson Hane,9,3,176,5,5,5,555
Jefferson Leuschke,83,1,37,1,1,1,111
Jeffie Bauch DVM,68,1,52,1,1,2,112
Jeffrey Bauch,83,1,23,1,1,1,111
Jeffrey Crooks,24,3,118,4,5,4,454
Jeffrey Pouros DDS,38,1,43,3,1,2,312
Jeffrey Roberts,6,1,67,5,1,3,513
Jeffrey White,67,1,62,2,1,3,213
Jeffry Jenkins DDS,82,1,70,1,1,3,113
Jelani Mosciski,75,1,32,1,1,1,111
Jelani Ritchie,75,2,102,1,4,4,144
Jemal Hessel,42,1,76,3,1,4,314
Jemal Lubowitz,34,1,70,3,1,3,313
Jemima Kozey,34,1,75,3,1,3,313
Jena Nader,64,1,37,2,1,1,211
Jenelle Osinski,4,2,135,5,4,5,545
Jenelle Wiza,51,2,126,2,4,5,245
Jenilee McDermott DDS,46,1,47,2,1,2,212
Jenna Murray,8,1,80,5,1,4,514
Jennette Daugherty DDS,7,1,46,5,1,2,512
Jennette Jerde,79,1,55,1,1,2,112
Jennette Kuhlman DDS,29,1,65,3,1,3,313
Jennette Labadie,13,1,26,4,1,1,411
Jennette Turcotte DVM,43,3,169,3,5,5,355
Jenni Cartwright,66,2,90,2,4,4,244
Jennie Schimmel,4,4,232,5,5,5,555
Jennifer Huels,6,4,257,5,5,5,555
Jennifer Konopelski DVM,52,3,153,2,5,5,255
Jenniffer Harber,18,1,77,4,1,4,414
Jenniffer Mante,68,1,24,1,1,1,111
Jenniffer Romaguera,33,8,429,3,5,5,355
Jenniffer Schuster,80,1,49,1,1,2,112
Jennings Torp Jr.,4,1,44,5,1,2,512
Jenny Jacobson DDS,17,2,79,4,4,4,444
Jenny Legros,59,1,37,2,1,1,211
Jenny McClure,77,1,20,1,1,1,111
Jensen Cormier Jr.,46,2,138,2,4,5,245
Jensen Grant,6,3,175,5,5,5,555
Jensen Volkman,67,4,206,2,5,5,255
Jep Cole,83,1,46,1,1,2,112
Jep Gerhold,3,3,178,5,5,5,555
Jeptha Ledner,59,1,42,2,1,2,212
Jeptha O'Hara,5,1,52,5,1,2,512
Jerad Bosco DVM,49,2,76,2,4,4,244
Jerald Gaylord,39,2,154,3,4,5,345
Jerald Hintz,47,1,52,2,1,2,212
Jeraldine Swift,4,2,102,5,4,4,544
Jeraldine Waelchi,46,1,76,2,1,4,214
Jeramiah Crona Sr.,13,2,114,4,4,4,444
Jeramiah O'Hara,44,1,22,3,1,1,311
Jeramy Bruen V,46,1,47,2,1,2,212
Jere Brakus,61,1,32,2,1,1,211
Jere Wolf,58,2,82,2,4,4,244
Jered Powlowski,82,1,61,1,1,3,113
Jerel Moen,33,1,41,3,1,2,312
Jerel Schaefer Jr.,46,2,92,2,4,4,244
Jerel Towne I,82,2,57,1,4,2,142
Jereme Auer,4,5,279,5,5,5,555
Jeremey Carroll,44,1,45,3,1,2,312
Jeremey Dach,25,1,47,4,1,2,412
Jeremiah Nicolas MD,35,1,69,3,1,3,313
Jeremie Dickens,66,1,59,2,1,3,213
Jeremie McGlynn,42,1,51,3,1,2,312
Jeremie Ward,69,1,24,1,1,1,111
Jeremie Wehner V,46,1,74,2,1,3,213
Jeremy Jones,77,1,68,1,1,3,113
Jeremy Koelpin,19,3,147,4,5,5,455
Jeremy Torphy,79,1,62,1,1,3,113
Jeri Block,31,1,71,3,1,3,313
Jeri Hoppe,83,1,44,1,1,2,112
Jeri Kessler,8,3,173,5,5,5,555
Jerilyn Koch,71,1,59,1,1,3,113
Jerilyn Runte,34,1,70,3,1,3,313
Jerilyn Sauer,5,4,226,5,5,5,555
Jerimy Funk,51,5,246,2,5,5,255
Jermaine Legros,0,1,55,5,1,2,512
Jermaine Pfannerstill Jr.,64,1,45,2,1,2,212
Jermaine Shields,11,2,111,4,4,4,444
Jermey Auer,19,3,108,4,5,4,454
Jermey Erdman,77,1,77,1,1,4,114
Jermey Wisozk,6,4,225,5,5,5,555
Jerold Klocko,8,1,80,5,1,4,514
Jerold Schowalter,20,2,82,4,4,4,444
Jerold Sporer,50,1,44,2,1,2,212
Jerold Zulauf,5,1,29,5,1,1,511
Jerome Hoeger,4,1,69,5,1,3,513
Jerome Stehr,12,2,45,4,4,2,442
Jeromy Abbott,40,1,43,3,1,2,312
Jeromy Ondricka,47,1,38,2,1,1,211
Jeromy Rau MD,8,2,90,5,4,4,544
Jeromy Ziemann,6,3,155,5,5,5,555
Jerrel Hayes,6,1,34,5,1,1,511
Jerrell Ferry,30,2,117,3,4,4,344
Jerrell Goodwin III,6,1,31,5,1,1,511
Jerrell Simonis,32,1,73,3,1,3,313
Jerrell Wisozk I,51,2,107,2,4,4,244
Jerri Lebsack,50,1,79,2,1,4,214
Jerrica Cormier,84,1,66,1,1,3,113
Jerrie Welch,21,2,123,4,4,4,444
Jerrilyn Lindgren,43,2,57,3,4,2,342
Jerrod Boyer,21,1,25,4,1,1,411
Jerrod Cassin,52,1,56,2,1,2,212
Jerry Gusikowski,42,1,24,3,1,1,311
Jerusha Erdman,84,1,44,1,1,2,112
Jerusha Hahn,67,1,53,2,1,2,212
Jerusha Legros,79,1,67,1,1,3,113
Jeryl Little,11,1,60,4,1,3,413
Jeryl Moore,41,2,54,3,4,2,342
Jeryl Weimann,66,1,32,2,1,1,211
Jesenia Dach,39,4,203,3,5,5,355
Jesenia Ferry,44,1,29,3,1,1,311
Jesenia Nader,9,1,27,5,1,1,511
Jesica Bashirian,10,1,41,5,1,2,512
Jesica Kshlerin,48,1,23,2,1,1,211
Jess Kiehn III,67,2,84,2,4,4,244
Jess McCullough,5,2,80,5,4,4,544
Jess Tromp,89,2,104,1,4,4,144
Jesse Haag,89,1,37,1,1,1,111
Jesse Hills,12,2,100,4,4,4,444
Jesse Murazik III,21,1,74,4,1,3,413
Jesse Wolf,83,2,99,1,4,4,144
Jessee Howell,26,1,75,4,1,3,413
Jessee Hudson,47,2,82,2,4,4,244
Jessee Stamm,39,3,105,3,5,4,354
Jessenia King,43,1,68,3,1,3,313
Jessenia Mohr,47,1,63,2,1,3,213
Jessenia Predovic,47,1,38,2,1,1,211
Jessi Jacobson,30,1,38,3,1,1,311
Jessi Kuhlman PhD,76,1,20,1,1,1,111
Jessica Connelly,52,1,71,2,1,3,213
Jessica Koepp MD,11,2,114,4,4,4,444
Jessica O'Reilly,45,1,69,3,1,3,313
Jessie Becker,69,1,36,1,1,1,111
Jessie Senger,46,2,82,2,4,4,244
Jessie Wilkinson,18,1,55,4,1,2,412
Jessika Hilpert,12,1,72,4,1,3,413
Jessika Torphy,1,14,733,5,5,5,555
Jessy Emard,47,2,103,2,4,4,244
Jessy O'Kon,83,1,67,1,1,3,113
Jessy Rutherford,37,1,75,3,1,3,313
Jessy Treutel,49,3,170,2,5,5,255
Jesus Howe,47,1,48,2,1,2,212
Jethro Volkman,8,1,59,5,1,3,513
Jett Frami,10,1,38,5,1,1,511
Jett Wisoky Sr.,45,3,157,3,5,5,355
Jetta Bahringer,46,1,30,2,1,1,211
Jetta Carter,47,3,69,2,5,3,253
Jetta Considine,6,1,52,5,1,2,512
Jetta Wolff,38,1,54,3,1,2,312
Jevon Mertz IV,3,8,373,5,5,5,555
Jevon Rutherford,7,6,298,5,5,5,555
Jewel Crona,85,1,29,1,1,1,111
Jewel Kihn,71,2,103,1,4,4,144
Jewell Kshlerin PhD,6,7,280,5,5,5,555
Jewell Schiller,18,1,47,4,1,2,412
Jiles Fritsch,47,1,46,2,1,2,212
Jill Satterfield,3,1,42,5,1,2,512
Jillian Daniel,88,2,69,1,4,3,143
Jimmie Herzog,12,2,114,4,4,4,444
Jimmie Zemlak DVM,47,2,88,2,4,4,244
Jimmy Berge,19,3,93,4,5,4,454
Jimmy O'Reilly,53,1,26,2,1,1,211
Jinnie Ziemann,1,2,80,5,4,4,544
Jo Hilpert,74,1,49,1,1,2,112
Joan Lind PhD,2,1,35,5,1,1,511
Joan Rodriguez,11,2,123,4,4,4,444
Joana Crist,5,11,542,5,5,5,555
Joana Kemmer DDS,63,2,118,2,4,4,244
Joana Kling,47,1,63,2,1,3,213
Joann Kunze DVM,47,1,45,2,1,2,212
Joann Yundt,21,1,79,4,1,4,414
Joanne Cronin,36,1,56,3,1,2,312
Joaquin VonRueden I,47,1,66,2,1,3,213
Job Kub,3,3,116,5,5,4,554
Jocelyn Braun,60,1,46,2,1,2,212
Jocelyn Mann DVM,46,1,71,2,1,3,213
Jocelyne Veum,47,1,39,2,1,1,211
Jocelynn Dietrich,49,1,29,2,1,1,211
Jodi Anderson,14,1,62,4,1,3,413
Jodi Ruecker,49,1,45,2,1,2,212
Jodi West,58,1,44,2,1,2,212
Jody Smith,68,1,49,1,1,2,112
Joe McDermott,1,3,80,5,5,4,554
Joell Eichmann,89,1,28,1,1,1,111
Joell Lind PhD,62,1,57,2,1,2,212
Joella Leuschke,57,1,34,2,1,1,211
Joella Osinski DVM,57,1,58,2,1,2,212
Joelle Deckow,29,3,171,3,5,5,355
Joelle Osinski,0,1,74,5,1,3,513
Joellen Bradtke,52,1,30,2,1,1,211
Joellen Schmitt,4,3,195,5,5,5,555
Joetta Abernathy,1,9,525,5,5,5,555
Joette Kovacek,4,3,182,5,5,5,555
Joey Deckow,40,1,36,3,1,1,311
Joey Shields,47,1,60,2,1,3,213
Johan Mohr,15,1,31,4,1,1,411
Johana Pacocha,12,1,66,4,1,3,413
Johannah DuBuque,89,1,22,1,1,1,111
Johathan Beier,61,2,67,2,4,3,243
Johathan Braun,5,1,41,5,1,2,512
Johathan Lang,14,1,53,4,1,2,412
John Dooley,47,1,52,2,1,2,212
John Mayer,1,44,2270,5,5,5,555
John Taylor,1,1,44,5,1,2,512
Johnathan Raynor V,35,1,40,3,1,2,312
Johnathon Breitenberg,53,1,60,2,1,3,213
Johnathon Schimmel,17,1,79,4,1,4,414
Johney Beier,66,1,21,2,1,1,211
Johney Glover,40,1,61,3,1,3,313
Johney Hansen,43,1,49,3,1,2,312
Johney Harvey,47,1,29,2,1,1,211
Johney Mayer,1,1,68,5,1,3,513
Johnie Baumbach V,20,1,24,4,1,1,411
Johnie Bergnaum,0,1,52,5,1,2,512
Johnie Carter,2,3,133,5,5,5,555
Johnie Gerlach,65,1,74,2,1,3,213
Johnie Mills,45,1,29,3,1,1,311
Johnie Mraz,21,8,360,4,5,5,455
Johnna Botsford,20,1,80,4,1,4,414
Johnnie Jerde IV,50,2,76,2,4,4,244
Johnnie Olson,15,1,47,4,1,2,412
Johnnie Rath,44,4,163,3,5,5,355
Johnny Langworth,5,1,24,5,1,1,511
Johnpaul Conn,56,1,51,2,1,2,212
Johnpaul Feeney MD,43,2,107,3,4,4,344
Johnpaul Streich IV,67,1,56,2,1,2,212
Johnson Beahan,47,1,52,2,1,2,212
Johnson Labadie,77,1,71,1,1,3,113
Johnson Ondricka,3,3,144,5,5,5,555
Johnson Zboncak,39,1,42,3,1,2,312
Johny Hane,65,1,45,2,1,2,212
Johny Schowalter,46,1,75,2,1,3,213
Joi Dach,88,1,74,1,1,3,113
Joleen Hills,75,1,79,1,1,4,114
Jolene Harris,68,1,34,1,1,1,111
Jolie Schumm,10,2,122,5,4,4,544
Jolie Stracke,74,2,99,1,4,4,144
Jolie Wuckert,12,2,44,4,4,2,442
Jon Hettinger,68,1,52,1,1,2,112
Jon Morissette,20,1,26,4,1,1,411
Jon Sporer,4,9,486,5,5,5,555
Jon Zemlak MD,6,1,71,5,1,3,513
Jonah Aufderhar,6,2,68,5,4,3,543
Jonas Towne,25,3,137,4,5,5,455
Jonatan Boehm,15,1,52,4,1,2,412
Jonathan Gulgowski,17,1,72,4,1,3,413
Jonathan Nikolaus MD,58,1,43,2,1,2,212
Jonathon Toy,11,6,290,4,5,5,455
Jones Hackett,4,1,76,5,1,4,514
Jones Tromp,24,1,22,4,1,1,411
Jonnie Harber,39,1,71,3,1,3,313
Jordan Ledner,39,1,67,3,1,3,313
Jordan Smith,75,1,56,1,1,2,112
Jordan Sporer,9,3,199,5,5,5,555
Jorden Watsica,46,1,51,2,1,2,212
Jordyn Berge,68,1,42,1,1,2,112
Jordyn Feil,46,2,150,2,4,5,245
Jordyn Gusikowski MD,45,1,55,3,1,2,312
Jordyn O'Hara,57,1,62,2,1,3,213
Jordyn Ratke,31,1,36,3,1,1,311
Jordyn Wunsch,2,1,39,5,1,1,511
Joretta Raynor,86,1,48,1,1,2,112
Joretta Reynolds,23,2,100,4,4,4,444
Jorge Blanda IV,14,1,65,4,1,3,413
Jorge Jerde II,12,2,50,4,4,2,442
Jorge Pouros,31,1,63,3,1,3,313
Jorge Runte,58,2,96,2,4,4,244
Jose Reinger DDS,26,1,75,4,1,3,413
Jose Steuber IV,18,1,36,4,1,1,411
Josef Durgan V,47,1,54,2,1,2,212
Josef Larkin,61,3,139,2,5,5,255
Josef Lemke,3,2,68,5,4,3,543
Josef Yost,47,1,44,2,1,2,212
Josefita Moen,27,1,74,3,1,3,313
Josefita Stracke,39,2,118,3,4,4,344
Joselin Brekke,2,1,69,5,1,3,513
Joselin Feest,21,2,48,4,4,2,442
Joseline McGlynn,52,1,37,2,1,1,211
Joseph Bashirian,47,1,48,2,1,2,212
Joseph McDermott,45,1,76,3,1,4,314
Joseph Schmitt,32,1,61,3,1,3,313
Josephus Bradtke DVM,21,2,98,4,4,4,444
Josephus Brown,72,1,26,1,1,1,111
Josephus Wintheiser,82,1,62,1,1,3,113
Josette Bailey,33,1,33,3,1,1,311
Josette Dibbert,15,1,48,4,1,2,412
Josette Feil,29,1,39,3,1,1,311
Josh Auer,87,1,21,1,1,1,111
Josh Lesch,47,2,124,2,4,5,245
Josh Wuckert,80,1,72,1,1,3,113
Joshuah Schaefer,88,1,43,1,1,2,112
Josiah Kulas,42,4,185,3,5,5,355
Josie Muller,20,1,33,4,1,1,411
Josiephine Bailey,47,1,27,2,1,1,211
Joslyn Fadel,33,3,153,3,5,5,355
Joslyn Glover MD,14,1,33,4,1,1,411
Journey Gorczany,6,1,79,5,1,4,514
Jovan Hessel,1,6,311,5,5,5,555
Jovan Pagac,6,3,139,5,5,5,555
Jovani Beahan,19,3,164,4,5,5,455
Jovani Cruickshank,4,2,137,5,4,5,545
Jovanni Fisher,10,2,114,5,4,4,544
Jovanni Harris,3,2,95,5,4,4,544
Jovanny Wunsch IV,31,1,33,3,1,1,311
Jovany Cronin,78,2,103,1,4,4,144
Jovita Cremin,45,1,46,3,1,2,312
Joy Christiansen,7,1,21,5,1,1,511
Joy Reinger,46,1,56,2,1,2,212
Joyce Cronin,47,1,78,2,1,4,214
Joyce Krajcik,28,3,153,3,5,5,355
Joyce Kulas,59,2,130,2,4,5,245
Joycelyn Jacobson,47,1,52,2,1,2,212
Joye O'Keefe,18,1,21,4,1,1,411
